0 	 0 	 0 	 1 	0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 	 1 	 1 	 6 	0 1 0  0 -1 0  1 0 0  -1 0 0  0 0 -1  0 0 1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 	 2 	 2 	 12 	0 -1 -1  1 0 1  1 1 0  1 0 -1  -1 0 1  0 -1 1  -1 0 -1  -1 -1 0  -1 1 0  1 -1 0  0 1 -1  0 1 1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 	 4 	 3 	 8 	-1 1 -1  -1 1 1  -1 -1 -1  1 -1 1  -1 -1 1  1 -1 -1  1 1 -1  1 1 1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 	 1 	 4 	 6 	0 2 0  0 -2 0  -2 0 0  0 0 2  2 0 0  0 0 -2  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 	 3 	 5 	 24 	0 -2 -1  0 -1 -2  0 -2 1  2 1 0  0 2 -1  -1 0 2  0 2 1  1 0 -2  2 0 -1  2 0 1  -2 1 0  0 1 2  1 -2 0  2 -1 0  -2 0 1  -1 0 -2  -2 0 -1  0 1 -2  -2 -1 0  -1 -2 0  0 -1 2  1 2 0  -1 2 0  1 0 2  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 	 5 	 6 	 24 	-2 1 -1  -1 1 -2  -1 -1 2  -2 1 1  1 -2 1  1 -2 -1  1 -1 -2  2 -1 -1  2 -1 1  -2 -1 -1  -1 -2 -1  -1 -1 -2  -1 -2 1  -2 -1 1  1 2 -1  1 2 1  -1 2 -1  -1 2 1  1 1 2  2 1 -1  -1 1 2  2 1 1  1 -1 2  1 1 -2  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
7 	 2 	 8 	 12 	2 -2 0  0 -2 -2  2 0 2  -2 0 -2  0 2 -2  2 0 -2  -2 2 0  0 2 2  -2 -2 0  2 2 0  -2 0 2  0 -2 2  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 	 5 	 9 	 24 	-2 1 -2  -2 -1 2  -1 -2 2  1 -2 -2  1 2 2  2 -2 -1  2 -1 -2  2 -2 1  -1 2 2  -2 -2 -1  -2 -1 -2  -1 -2 -2  -2 -2 1  2 2 -1  2 1 2  2 2 1  1 2 -2  -1 2 -2  -2 2 -1  -2 2 1  2 1 -2  -2 1 2  1 -2 2  2 -1 2  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
9 	 1 	 9 	 6 	0 -3 0  0 0 -3  0 0 3  3 0 0  0 3 0  -3 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
